Date,Open,High,Low,Close,Volume
17-Nov-16,1.26,1.47,1.26,1.44,52970
16-Nov-16,1.22,1.28,1.22,1.22,49350
15-Nov-16,1.17,1.21,1.17,1.20,10780
14-Nov-16,1.20,1.20,1.12,1.14,32650
11-Nov-16,1.23,1.25,1.15,1.17,23765
10-Nov-16,1.15,1.21,1.15,1.20,16340
9-Nov-16,1.12,1.15,1.09,1.10,170250
8-Nov-16,1.08,1.16,1.08,1.13,21703
7-Nov-16,1.07,1.08,1.06,1.08,13900
4-Nov-16,1.07,1.10,1.05,1.10,17480
3-Nov-16,1.11,1.11,1.08,1.08,13000
2-Nov-16,1.14,1.16,1.11,1.12,34787
1-Nov-16,1.20,1.21,1.14,1.16,50000
31-Oct-16,1.22,1.24,1.17,1.21,55160
28-Oct-16,1.26,1.27,1.20,1.21,21115
27-Oct-16,1.21,1.23,1.20,1.21,21000
26-Oct-16,1.16,1.16,1.15,1.16,13318
25-Oct-16,1.19,1.20,1.16,1.16,221575
24-Oct-16,1.20,1.24,1.15,1.18,91197
21-Oct-16,1.27,1.28,1.24,1.28,44875
20-Oct-16,1.30,1.32,1.29,1.32,7085
19-Oct-16,1.34,1.35,1.33,1.33,5629
18-Oct-16,1.35,1.35,1.34,1.35,101475
17-Oct-16,1.35,1.38,1.35,1.36,132530
14-Oct-16,1.31,1.36,1.31,1.36,37750
13-Oct-16,1.27,1.33,1.27,1.33,19690
12-Oct-16,1.32,1.34,1.32,1.32,11140
11-Oct-16,1.42,1.42,1.29,1.30,23650
10-Oct-16,1.39,1.47,1.39,1.47,16500
7-Oct-16,1.25,1.41,1.25,1.38,150550
6-Oct-16,1.32,1.32,1.19,1.23,212977
5-Oct-16,1.33,1.37,1.33,1.36,31860
4-Oct-16,1.42,1.42,1.32,1.37,312483
3-Oct-16,1.50,1.51,1.44,1.44,17848
30-Sep-16,1.52,1.52,1.52,1.52,5830
29-Sep-16,1.55,1.55,1.51,1.52,20775
28-Sep-16,1.42,1.51,1.41,1.51,39250
27-Sep-16,1.45,1.45,1.40,1.43,31900
26-Sep-16,1.53,1.53,1.45,1.45,33540
23-Sep-16,1.52,1.53,1.51,1.52,26750
22-Sep-16,1.57,1.60,1.57,1.60,15848
21-Sep-16,1.59,1.60,1.55,1.58,61037
20-Sep-16,1.52,1.56,1.50,1.56,49793
19-Sep-16,1.48,1.52,1.47,1.51,73419
16-Sep-16,1.50,1.50,1.40,1.46,57591
15-Sep-16,1.54,1.54,1.49,1.49,109089
14-Sep-16,1.60,1.62,1.56,1.56,165000
13-Sep-16,1.64,1.64,1.57,1.61,36698
12-Sep-16,1.63,1.68,1.62,1.64,14382
9-Sep-16,1.69,1.69,1.65,1.67,26180
8-Sep-16,1.75,1.75,1.68,1.73,29720
7-Sep-16,1.78,1.83,1.74,1.74,23395
6-Sep-16,1.76,1.83,1.76,1.80,14640
